env_name,N_agents,local_ratio,model_path,test_method,sample_size,test_budget,avg_reward,avg_time_taken,top_percentage
simple_spread_v3,2,0.0,central_policies/simple_spread_v3_2/model.zip,Random Testing,25,1000,-57.24278790489462,27.891111612319946,0.9
simple_spread_v3,2,0.0,central_policies/simple_spread_v3_2/model.zip,Random Q-testing,25,1000,-60.52776556057689,33.95405861854553,0.9
simple_spread_v3,2,0.0,central_policies/simple_spread_v3_2/model.zip,Random Q-low-testing,25,1000,-57.40000500666816,0.9633587265014648,0.9
simple_spread_v3,2,0.0,central_policies/simple_spread_v3_2/model.zip,Genetic Testing,25,1000,-61.89056762970029,27.385201416015626,0.9
simple_spread_v3,2,0.0,central_policies/simple_spread_v3_2/model.zip,Genetic Q-testing,25,1000,-72.72396066981112,35.57853052139282,0.9
simple_spread_v3,2,0.1,central_policies/simple_spread_v3_2_01/model.zip,Random Testing,25,1000,-58.275219512294726,27.7361612033844,0.9
simple_spread_v3,2,0.1,central_policies/simple_spread_v3_2_01/model.zip,Random Q-testing,25,1000,-61.28048170854345,33.830018758773804,0.9
simple_spread_v3,2,0.1,central_policies/simple_spread_v3_2_01/model.zip,Random Q-low-testing,25,1000,-58.060654010504074,0.9504816818237305,0.9
simple_spread_v3,2,0.1,central_policies/simple_spread_v3_2_01/model.zip,Genetic Testing,25,1000,-62.07113309532902,27.17882610321045,0.9
simple_spread_v3,2,0.1,central_policies/simple_spread_v3_2_01/model.zip,Genetic Q-testing,25,1000,-73.56743530942111,34.28439155578613,0.9
simple_spread_v3,2,0.2,central_policies/simple_spread_v3_2_02/model.zip,Random Testing,25,1000,-47.39337129791317,27.592559328079222,0.9
simple_spread_v3,2,0.2,central_policies/simple_spread_v3_2_02/model.zip,Random Q-testing,25,1000,-48.505815254413285,34.68988919258118,0.9
simple_spread_v3,2,0.2,central_policies/simple_spread_v3_2_02/model.zip,Random Q-low-testing,25,1000,-46.54665130656576,0.9595100688934326,0.9
simple_spread_v3,2,0.2,central_policies/simple_spread_v3_2_02/model.zip,Genetic Testing,25,1000,-51.97145591350582,27.291673460006713,0.9
simple_spread_v3,2,0.2,central_policies/simple_spread_v3_2_02/model.zip,Genetic Q-testing,25,1000,-60.65502224493594,34.92106366157532,0.9
simple_spread_v3,2,0.3,central_policies/simple_spread_v3_2_03/model.zip,Random Testing,25,1000,-40.391816565107426,27.393260068893433,0.9
