env_name,N_agents,local_ratio,model_path,test_method,sample_size,test_budget,avg_reward,avg_time_taken,top_percentage
simple_speaker_listener_v4,2,0.0,decentral_policies/simple_speaker_listener_v4,Random Testing,25,1000,-48.988905780180005,24.214459381103516,0.9
simple_speaker_listener_v4,2,0.0,decentral_policies/simple_speaker_listener_v4,Random Q-testing,25,1000,-67.2565346141525,4.466701316833496,0.9
simple_speaker_listener_v4,2,0.0,decentral_policies/simple_speaker_listener_v4,Random Q-low-testing,25,1000,-67.99203201665027,25.20387475013733,0.9
simple_speaker_listener_v4,2,0.0,decentral_policies/simple_speaker_listener_v4,Genetic Testing,25,1000,-61.1411169701214,24.034488410949706,0.9
simple_speaker_listener_v4,2,0.0,decentral_policies/simple_speaker_listener_v4,Genetic Q-testing,25,1000,-87.91058617484961,5.849894256591797,0.9
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Testing,25,1000,-32.43704895830098,28.550877304077147,0.9
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-testing,25,1000,-37.266591393969094,4.670504369735718,0.9
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-low-testing,25,1000,-37.85251158495309,28.939124641418456,0.9
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Testing,25,1000,-39.58408649914569,28.46813846588135,0.9
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Q-testing,25,1000,-40.37164725656812,4.808535346984863,0.9
simple_spread_v3,3,0.0,decentral_policies/simple_spread_v3_3,Random Testing,25,1000,-102.71976403955863,44.50153395652771,0.9
simple_spread_v3,3,0.0,decentral_policies/simple_spread_v3_3,Random Q-testing,25,1000,-110.45274524849785,8.025069952011108,0.9
simple_spread_v3,3,0.0,decentral_policies/simple_spread_v3_3,Random Q-low-testing,25,1000,-113.28093735069231,44.57114126205445,0.9
simple_spread_v3,3,0.0,decentral_policies/simple_spread_v3_3,Genetic Testing,25,1000,-108.32256681592739,43.863539915084836,0.9
simple_spread_v3,3,0.0,decentral_policies/simple_spread_v3_3,Genetic Q-testing,25,1000,-118.2578255606735,7.148582210540772,0.9
simple_spread_v3,4,0.0,decentral_policies/simple_spread_v3_4,Random Testing,25,1000,-182.65762240287168,54.831002426147464,0.9
simple_spread_v3,4,0.0,decentral_policies/simple_spread_v3_4,Random Q-testing,25,1000,-193.57731690113644,8.713865413665772,0.9
simple_spread_v3,4,0.0,decentral_policies/simple_spread_v3_4,Random Q-low-testing,25,1000,-201.6248896025316,55.9417271232605,0.9
simple_spread_v3,4,0.0,decentral_policies/simple_spread_v3_4,Genetic Testing,25,1000,-191.737221701759,59.02371042251587,0.9
simple_spread_v3,4,0.0,decentral_policies/simple_spread_v3_4,Genetic Q-testing,25,1000,-193.9656674315694,10.579080820083618,0.9
simple_spread_v3,5,0.0,decentral_policies/simple_spread_v3_5,Random Testing,25,1000,-280.4950570727848,78.8414444732666,0.9
simple_spread_v3,5,0.0,decentral_policies/simple_spread_v3_5,Random Q-testing,25,1000,-295.553605129018,14.21757866859436,0.9
simple_spread_v3,5,0.0,decentral_policies/simple_spread_v3_5,Random Q-low-testing,25,1000,-302.7592282202991,75.61503096580505,0.9
simple_spread_v3,5,0.0,decentral_policies/simple_spread_v3_5,Genetic Testing,25,1000,-299.95961236484374,70.92877144813538,0.9
simple_spread_v3,5,0.0,decentral_policies/simple_spread_v3_5,Genetic Q-testing,25,1000,-301.9508195893913,13.574354915618896,0.9
simple_spread_v3,6,0.0,decentral_policies/simple_spread_v3_6,Random Testing,25,1000,-394.65281172452734,97.93689687728882,0.9
simple_spread_v3,6,0.0,decentral_policies/simple_spread_v3_6,Random Q-testing,25,1000,-412.3121653926134,18.26246216773987,0.9
simple_spread_v3,6,0.0,decentral_policies/simple_spread_v3_6,Random Q-low-testing,25,1000,-419.81743851088606,102.54737129211426,0.9
simple_spread_v3,6,0.0,decentral_policies/simple_spread_v3_6,Genetic Testing,25,1000,-394.68653126486095,93.17280303001404,0.9
simple_spread_v3,6,0.0,decentral_policies/simple_spread_v3_6,Genetic Q-testing,25,1000,-414.73789975263594,14.785844287872315,0.9
coin_collector,2,0.0,decentral_policies/coin_collector,Random Testing,25,1000,-810.58212,53.11496026992798,0.9
coin_collector,2,0.0,decentral_policies/coin_collector,Random Q-testing,25,1000,-805.6560487178679,8.221578483581544,0.9
coin_collector,2,0.0,decentral_policies/coin_collector,Random Q-low-testing,25,1000,-801.08196,40.922752952575685,0.9
coin_collector,2,0.0,decentral_policies/coin_collector,Genetic Testing,25,1000,-809.23992,53.75665833473206,0.9
coin_collector,2,0.0,decentral_policies/coin_collector,Genetic Q-testing,25,1000,-801.924033738628,8.846412811279297,0.9
knight_wizard_zombies,2,0.0,decentral_policies/knight_wizard_zombies,Random Testing,25,1000,-449.99695999999994,10.316393690109253,0.9
knight_wizard_zombies,2,0.0,decentral_policies/knight_wizard_zombies,Random Q-testing,25,1000,-449.6240021216336,2.1771304702758787,0.9
knight_wizard_zombies,2,0.0,decentral_policies/knight_wizard_zombies,Random Q-low-testing,25,1000,-450.1567999999999,11.474336347579957,0.9
knight_wizard_zombies,2,0.0,decentral_policies/knight_wizard_zombies,Genetic Testing,25,1000,-450.0377600000001,12.7691583442688,0.9
knight_wizard_zombies,2,0.0,decentral_policies/knight_wizard_zombies,Genetic Q-testing,25,1000,-450.0157037048295,2.693490161895752,0.9
simple_spread_v3,2,0.1,decentral_policies/simple_spread_v3_2_01,Random Testing,25,1000,-30.822369546917898,30.12686902999878,0.9
simple_spread_v3,2,0.1,decentral_policies/simple_spread_v3_2_01,Random Q-testing,25,1000,-33.41298360231406,5.08292784690857,0.9
simple_spread_v3,2,0.1,decentral_policies/simple_spread_v3_2_01,Random Q-low-testing,25,1000,-35.35178132756051,30.495807886123657,0.9
simple_spread_v3,2,0.1,decentral_policies/simple_spread_v3_2_01,Genetic Testing,25,1000,-37.844238265985375,30.597763347625733,0.9
simple_spread_v3,2,0.1,decentral_policies/simple_spread_v3_2_01,Genetic Q-testing,25,1000,-37.40857436044432,6.241677923202515,0.9
simple_spread_v3,2,0.2,decentral_policies/simple_spread_v3_2_02,Random Testing,25,1000,-25.681706010475096,30.100157222747804,0.9
simple_spread_v3,2,0.2,decentral_policies/simple_spread_v3_2_02,Random Q-testing,25,1000,-28.99302303040711,5.310045623779297,0.9
simple_spread_v3,2,0.2,decentral_policies/simple_spread_v3_2_02,Random Q-low-testing,25,1000,-29.194046158648398,30.458681488037108,0.9
simple_spread_v3,2,0.2,decentral_policies/simple_spread_v3_2_02,Genetic Testing,25,1000,-29.77699738933427,30.91531186103821,0.9
simple_spread_v3,2,0.2,decentral_policies/simple_spread_v3_2_02,Genetic Q-testing,25,1000,-32.3235982061465,5.967603149414063,0.9
simple_spread_v3,2,0.3,decentral_policies/simple_spread_v3_2_03,Random Testing,25,1000,-23.947416651463865,25.863468465805052,0.9
simple_spread_v3,2,0.3,decentral_policies/simple_spread_v3_2_03,Random Q-testing,25,1000,-26.255287697809123,4.594697551727295,0.9
simple_spread_v3,2,0.3,decentral_policies/simple_spread_v3_2_03,Random Q-low-testing,25,1000,-27.622001200482476,26.13653486251831,0.9
simple_spread_v3,2,0.3,decentral_policies/simple_spread_v3_2_03,Genetic Testing,25,1000,-27.41107825499046,25.815504817962648,0.9
simple_spread_v3,2,0.3,decentral_policies/simple_spread_v3_2_03,Genetic Q-testing,25,1000,-30.83882904127638,4.607795715332031,0.9
simple_spread_v3,2,0.4,decentral_policies/simple_spread_v3_2_04,Random Testing,25,1000,-20.976237923667767,25.94321636199951,0.9
simple_spread_v3,2,0.4,decentral_policies/simple_spread_v3_2_04,Random Q-testing,25,1000,-23.154603985794523,4.411549606323242,0.9
simple_spread_v3,2,0.4,decentral_policies/simple_spread_v3_2_04,Random Q-low-testing,25,1000,-23.781073399398803,26.449311809539793,0.9
simple_spread_v3,2,0.4,decentral_policies/simple_spread_v3_2_04,Genetic Testing,25,1000,-24.48621505238941,29.38647825241089,0.9
simple_spread_v3,2,0.4,decentral_policies/simple_spread_v3_2_04,Genetic Q-testing,25,1000,-25.322472074073335,6.502670726776123,0.9
simple_spread_v3,2,0.5,decentral_policies/simple_spread_v3_2_05,Random Testing,25,1000,-17.183944598068948,30.351059255599974,0.9
simple_spread_v3,2,0.5,decentral_policies/simple_spread_v3_2_05,Random Q-testing,25,1000,-19.075594710023037,5.728141365051269,0.9
simple_spread_v3,2,0.5,decentral_policies/simple_spread_v3_2_05,Random Q-low-testing,25,1000,-19.777343270476685,30.78188250541687,0.9
simple_spread_v3,2,0.5,decentral_policies/simple_spread_v3_2_05,Genetic Testing,25,1000,-22.027582271750124,31.321520309448243,0.9
simple_spread_v3,2,0.5,decentral_policies/simple_spread_v3_2_05,Genetic Q-testing,25,1000,-22.138005200096686,5.897264041900635,0.9
simple_spread_v3,2,0.6,decentral_policies/simple_spread_v3_2_06,Random Testing,25,1000,-13.570134972332818,29.65224500656128,0.9
simple_spread_v3,2,0.6,decentral_policies/simple_spread_v3_2_06,Random Q-testing,25,1000,-15.064747600091426,4.579846067428589,0.9
simple_spread_v3,2,0.6,decentral_policies/simple_spread_v3_2_06,Random Q-low-testing,25,1000,-15.304636098723135,29.292845611572265,0.9
simple_spread_v3,2,0.6,decentral_policies/simple_spread_v3_2_06,Genetic Testing,25,1000,-16.538020316957127,28.499837226867676,0.9
simple_spread_v3,2,0.6,decentral_policies/simple_spread_v3_2_06,Genetic Q-testing,25,1000,-17.805155346299376,6.1769156169891355,0.9
simple_spread_v3,2,0.7,decentral_policies/simple_spread_v3_2_07,Random Testing,25,1000,-11.519725978465328,26.10938799858093,0.9
simple_spread_v3,2,0.7,decentral_policies/simple_spread_v3_2_07,Random Q-testing,25,1000,-12.840574882808305,4.35834734916687,0.9
simple_spread_v3,2,0.7,decentral_policies/simple_spread_v3_2_07,Random Q-low-testing,25,1000,-13.09460627926155,26.163179359436036,0.9
simple_spread_v3,2,0.7,decentral_policies/simple_spread_v3_2_07,Genetic Testing,25,1000,-13.783273657363575,25.9158438205719,0.9
simple_spread_v3,2,0.7,decentral_policies/simple_spread_v3_2_07,Genetic Q-testing,25,1000,-15.204968314486612,5.733534288406372,0.9
simple_spread_v3,2,0.8,decentral_policies/simple_spread_v3_2_08,Random Testing,25,1000,-7.886128585886929,25.74907648086548,0.9
simple_spread_v3,2,0.8,decentral_policies/simple_spread_v3_2_08,Random Q-testing,25,1000,-8.945471750877141,4.247072420120239,0.9
simple_spread_v3,2,0.8,decentral_policies/simple_spread_v3_2_08,Random Q-low-testing,25,1000,-9.105416832736706,25.90406843185425,0.9
simple_spread_v3,2,0.8,decentral_policies/simple_spread_v3_2_08,Genetic Testing,25,1000,-9.266474018600636,25.745973052978517,0.9
simple_spread_v3,2,0.8,decentral_policies/simple_spread_v3_2_08,Genetic Q-testing,25,1000,-10.675439850055415,6.495360469818115,0.9
simple_spread_v3,2,0.9,decentral_policies/simple_spread_v3_2_09,Random Testing,25,1000,-4.473757797465743,26.135822315216064,0.9
simple_spread_v3,2,0.9,decentral_policies/simple_spread_v3_2_09,Random Q-testing,25,1000,-5.205630835594807,4.255538396835327,0.9
simple_spread_v3,2,0.9,decentral_policies/simple_spread_v3_2_09,Random Q-low-testing,25,1000,-5.054370093396807,26.252880506515503,0.9
simple_spread_v3,2,0.9,decentral_policies/simple_spread_v3_2_09,Genetic Testing,25,1000,-5.536138418356121,25.960322647094728,0.9
simple_spread_v3,2,0.9,decentral_policies/simple_spread_v3_2_09,Genetic Q-testing,25,1000,-7.12045772493118,7.403845653533936,0.9
simple_spread_v3,2,1.0,decentral_policies/simple_spread_v3_2_10,Random Testing,25,1000,-0.28792000000000006,25.930053262710572,0.9
simple_spread_v3,2,1.0,decentral_policies/simple_spread_v3_2_10,Random Q-testing,25,1000,-0.6126970580548019,4.647912654876709,0.9
simple_spread_v3,2,1.0,decentral_policies/simple_spread_v3_2_10,Random Q-low-testing,25,1000,-0.37432000000000004,26.27527814865112,0.9
simple_spread_v3,2,1.0,decentral_policies/simple_spread_v3_2_10,Genetic Testing,25,1000,-0.9812393193193195,25.848388080596923,0.9
simple_spread_v3,2,1.0,decentral_policies/simple_spread_v3_2_10,Genetic Q-testing,25,1000,-1.1476718789703952,7.1119935512542725,0.9
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Testing,25,1000,-32.44367992168508,25.794077920913697,0.0
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-testing,25,1000,-32.54101304592778,24.775203857421875,0.0
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-low-testing,25,1000,-38.05809304881585,25.9858300113678,0.0
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Testing,25,1000,-37.73535842142636,25.728403816223146,0.0
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Q-testing,25,1000,-38.377286258166734,24.05161085128784,0.0
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Testing,25,1000,-32.38395303066392,26.121204175949096,0.1
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-testing,25,1000,-32.60949062478992,22.60573390007019,0.1
